Year,Dubai_oil,Exchange_rate,Tourism_Foreigner,MICE_Foreigner,D_COVID
2009,489.73,1276.4,7817533,450192,0
2010,568,1156.26,8797658,592482,0
2011,737.45,1108.11,9794796,955636,0
2012,772.7,1126.88,11140028,1274482,0
2013,724.54,1095.04,12175550,1271419,0
2014,637.93,1053.22,14201516,1398361,0
2015,360.14,1131.49,13231651,1567553,0
2016,300.9,1160.5,17241823,1795202,0
2017,377.29,1130.84,13335758,1404185,0
2018,481.64,1100.3,15346879,1637942,0
2019,465.43,1165.65,17502756,1750000,0
2020,311.73,1180.05,2519118,49044,1
2021,501.12,1144.42,967003,100339,1
2022,782.55,1291.95,3198017,258979,1
